Cell.line	Small.Molecule.Name	CONC	CONC.units	Replicate	Time	Time.units	Cell_Count_0	Viable.cells	Control	Relative_cell_count	Normalized_GR
BT-20	Alvocidib	0.12	uM	7	72	hr	1097	603	3610	0.167	-0.2942
BT-20	Alvocidib	0.12	uM	8	72	hr	1097	616	3713	0.1659	-0.2798
BT-20	Alvocidib	0.12	uM	9	72	hr	1097	622	3696	0.1683	-0.2767
BT-20	Alvocidib	0.37	uM	1	72	hr	1657	1177	5244	0.2244	-0.1863
BT-20	Alvocidib	0.37	uM	2	72	hr	1657	1209	5360	0.2256	-0.1701
BT-20	Alvocidib	0.37	uM	3	72	hr	1657	1348	5546	0.2431	-0.1119
BT-20	Alvocidib	0.37	uM	4	72	hr	1334	764	3955	0.1931	-0.2995
BT-20	Alvocidib	0.37	uM	5	72	hr	1334	774	3899	0.1985	-0.2969
BT-20	Alvocidib	0.37	uM	6	72	hr	1334	700	3921	0.1785	-0.3397
BT-20	Alvocidib	0.37	uM	7	72	hr	1097	617	3610	0.1709	-0.2847
BT-20	Alvocidib	0.37	uM	8	72	hr	1097	619	3713	0.1667	-0.2778
BT-20	Alvocidib	0.37	uM	9	72	hr	1097	597	3696	0.1615	-0.2935
BT-20	Alvocidib	1.11	uM	1	72	hr	1657	1052	5244	0.2006	-0.2394
BT-20	Alvocidib	1.11	uM	2	72	hr	1657	1045	5360	0.195	-0.2386
BT-20	Alvocidib	1.11	uM	3	72	hr	1657	1294	5546	0.2333	-0.1325
BT-20	Alvocidib	1.11	uM	4	72	hr	1334	383	3955	0.0968	-0.5491
BT-20	Alvocidib	1.11	uM	5	72	hr	1334	359	3899	0.0921	-0.5722
BT-20	Alvocidib	1.11	uM	6	72	hr	1334	368	3921	0.0938	-0.5633
BT-20	Alvocidib	1.11	uM	7	72	hr	1097	535	3610	0.1482	-0.3417
BT-20	Alvocidib	1.11	uM	8	72	hr	1097	674	3713	0.1815	-0.242
BT-20	Alvocidib	1.11	uM	9	72	hr	1097	627	3696	0.1696	-0.2734
BT-20	Alvocidib	3.33	uM	1	72	hr	1657	1164	5244	0.2219	-0.1917
BT-20	Alvocidib	3.33	uM	2	72	hr	1657	1007	5360	0.1879	-0.255
BT-20	Alvocidib	3.33	uM	3	72	hr	1657	1394	5546	0.2514	-0.0947
BT-20	Alvocidib	3.33	uM	4	72	hr	1334	405	3955	0.1024	-0.5327
BT-20	Alvocidib	3.33	uM	5	72	hr	1334	369	3899	0.0946	-0.5645
BT-20	Alvocidib	3.33	uM	6	72	hr	1334	319	3921	0.0813	-0.6017
BT-20	Alvocidib	3.33	uM	7	72	hr	1097	680	3610	0.1883	-0.2431
BT-20	Alvocidib	3.33	uM	8	72	hr	1097	646	3713	0.174	-0.2601
BT-20	Alvocidib	3.33	uM	9	72	hr	1097	580	3696	0.1569	-0.305
BT-20	Alvocidib	10	uM	1	72	hr	1657	957	5244	0.1825	-0.2815
BT-20	Alvocidib	10	uM	2	72	hr	1657	1119	5360	0.2088	-0.2072
BT-20	Alvocidib	10	uM	3	72	hr	1657	1432	5546	0.2582	-0.0806
BT-20	Alvocidib	10	uM	4	72	hr	1334	359	3955	0.0908	-0.5673
BT-20	Alvocidib	10	uM	5	72	hr	1334	290	3899	0.0744	-0.6273
BT-20	Alvocidib	10	uM	6	72	hr	1334	302	3921	0.077	-0.6155
BT-20	Alvocidib	10	uM	7	72	hr	1097	618	3610	0.1712	-0.284
BT-20	Alvocidib	10	uM	8	72	hr	1097	603	3713	0.1624	-0.2885
BT-20	Alvocidib	10	uM	9	72	hr	1097	537	3696	0.1453	-0.3349
